,action,electricity_price,episode,gross_rate,losses,net_stored,new_charge,next_observation,next_state,observation,old_charge,reward,state,steps
15/11/2009 03:15,[ 2.  0.],-50.0,500,2.000000000000001,0.01666666666666667,0.15000000000000013,2.0125521112458853,"[[  50.           50.           50.           50.          100.
     2.01255211]]",[[ 50.           2.01255211]],[[-50.          50.          50.          50.          50.           1.86255211]],1.8625521112458852,8.333333333333337,[[-50.           1.86255211]],27
15/11/2009 03:20,[ 2.  0.],50.0,500,1.9999999999999982,0.01666666666666665,0.1499999999999999,2.162552111245885,"[[  50.           50.           50.          100.          100.
     2.16255211]]",[[ 50.           2.16255211]],"[[  50.           50.           50.           50.          100.
     2.01255211]]",2.0125521112458853,-8.333333333333325,[[ 50.           2.01255211]],28
15/11/2009 03:25,[ 0.99539957  1.47201308],50.0,500,-0.47661350497971533,0.0,-0.039717792081642944,2.1228343191642423,"[[  50.           50.          100.          100.          100.
     2.12283432]]",[[ 50.           2.12283432]],"[[  50.           50.           50.          100.          100.
     2.16255211]]",2.162552111245885,1.9858896040821472,[[ 50.           2.16255211]],29
15/11/2009 03:30,[ 1.247625    1.46597991],50.0,500,-0.21835491333054335,0.0,-0.01819624277754528,2.104638076386697,"[[  50.          100.          100.          100.          100.
     2.10463808]]",[[ 50.           2.10463808]],"[[  50.           50.          100.          100.          100.
     2.12283432]]",2.1228343191642423,0.909812138877264,[[ 50.           2.12283432]],30
15/11/2009 03:35,[ 0.40514313  0.31518107],50.0,500,0.08996206144677643,0.0007496838453898034,0.006747154608508055,2.111385230995205,"[[ 100.          100.          100.          100.          100.
     2.11138523]]",[[ 100.            2.11138523]],"[[  50.          100.          100.          100.          100.
     2.10463808]]",2.104638076386697,-0.3748419226949018,[[ 50.           2.10463808]],31
15/11/2009 03:40,[ 0.70125775  0.82772134],100.0,500,-0.12646358308003514,0.0,-0.010538631923336261,2.1008465990718688,[[ 100.         100.         100.         100.         -50.           2.1008466]],[[ 100.           2.1008466]],"[[ 100.          100.          100.          100.          100.
     2.11138523]]",2.111385230995205,1.0538631923336261,[[ 100.            2.11138523]],32
15/11/2009 03:45,[ 0.  0.],100.0,500,0.0,0.0,0.0,2.1008465990718688,[[ 100.         100.         100.         -50.         -50.           2.1008466]],[[ 100.           2.1008466]],[[ 100.         100.         100.         100.         -50.           2.1008466]],2.1008465990718688,-0.0,[[ 100.           2.1008466]],33
15/11/2009 03:50,[ 0.          0.73684211],100.0,500,-0.7368421052631575,0.0,-0.06140350877192979,2.039443090299939,"[[ 100.          100.          -50.          -50.          -50.
     2.03944309]]",[[ 100.            2.03944309]],[[ 100.         100.         100.         -50.         -50.           2.1008466]],2.1008465990718688,6.140350877192979,[[ 100.           2.1008466]],34
15/11/2009 03:55,[ 2.  0.],100.0,500,1.9999999999999982,0.01666666666666665,0.1499999999999999,2.189443090299939,"[[ 100.          -50.          -50.          -50.          -50.
     2.18944309]]",[[ 100.            2.18944309]],"[[ 100.          100.          -50.          -50.          -50.
     2.03944309]]",2.039443090299939,-16.66666666666665,[[ 100.            2.03944309]],35
15/11/2009 04:00,[ 2.  0.],100.0,500,1.9999999999999982,0.01666666666666665,0.1499999999999999,2.339443090299939,[[-50.         -50.         -50.         -50.          50.           2.33944309]],[[-50.           2.33944309]],"[[ 100.          -50.          -50.          -50.          -50.
     2.18944309]]",2.189443090299939,-16.66666666666665,[[ 100.            2.18944309]],36
15/11/2009 04:05,[ 0.          0.42105263],-50.0,500,-0.4210526315789487,0.0,-0.03508771929824572,2.304355371001693,[[-50.         -50.         -50.          50.          50.           2.30435537]],[[-50.           2.30435537]],[[-50.         -50.         -50.         -50.          50.           2.33944309]],2.339443090299939,-1.7543859649122862,[[-50.           2.33944309]],37
15/11/2009 04:10,[ 0.  0.],-50.0,500,0.0,0.0,0.0,2.304355371001693,[[-50.         -50.          50.          50.          50.           2.30435537]],[[-50.           2.30435537]],[[-50.         -50.         -50.          50.          50.           2.30435537]],2.304355371001693,0.0,[[-50.           2.30435537]],38
15/11/2009 04:15,[ 2.  0.],-50.0,500,1.9999999999999982,0.01666666666666665,0.1499999999999999,2.454355371001693,[[-50.          50.          50.          50.          50.           2.45435537]],[[-50.           2.45435537]],[[-50.         -50.          50.          50.          50.           2.30435537]],2.304355371001693,8.333333333333325,[[-50.           2.30435537]],39
15/11/2009 04:20,[ 0.29171293  1.69002325],-50.0,500,-1.3983103234356182,0.0,-0.11652586028630152,2.3378295107153915,"[[  50.           50.           50.           50.          100.
     2.33782951]]",[[ 50.           2.33782951]],[[-50.          50.          50.          50.          50.           2.45435537]],2.454355371001693,-5.826293014315076,[[-50.           2.45435537]],40
15/11/2009 04:25,[ 0.10526316  2.        ],50.0,500,-1.8947368421052637,0.0,-0.1578947368421053,2.179934773873286,"[[  50.           50.           50.          100.          100.
     2.17993477]]",[[ 50.           2.17993477]],"[[  50.           50.           50.           50.          100.
     2.33782951]]",2.3378295107153915,7.8947368421052655,[[ 50.           2.33782951]],41
15/11/2009 04:30,[ 0.63157895  0.84210526],50.0,500,-0.21052631578947434,0.0,-0.01754385964912286,2.1623909142241633,"[[  50.           50.          100.          100.          100.
     2.16239091]]",[[ 50.           2.16239091]],"[[  50.           50.           50.          100.          100.
     2.17993477]]",2.179934773873286,0.8771929824561431,[[ 50.           2.17993477]],42
15/11/2009 04:35,[ 2.  0.],50.0,500,1.9999999999999982,0.01666666666666665,0.1499999999999999,2.312390914224163,"[[  50.          100.          100.          100.          100.
     2.31239091]]",[[ 50.           2.31239091]],"[[  50.           50.          100.          100.          100.
     2.16239091]]",2.1623909142241633,-8.333333333333325,[[ 50.           2.16239091]],43
15/11/2009 04:40,[ 0.69081594  0.83836771],50.0,500,-0.147551769002769,0.0,-0.01229598075023075,2.3000949334739325,"[[ 100.          100.          100.          100.          100.
     2.30009493]]",[[ 100.            2.30009493]],"[[  50.          100.          100.          100.          100.
     2.31239091]]",2.312390914224163,0.6147990375115375,[[ 50.           2.31239091]],44
15/11/2009 04:45,[ 1.27516589  0.48112687],100.0,500,0.7940390198351341,0.006616991831959449,0.059552926487635105,2.3596478599615676,"[[ 100.          100.          100.          100.          -50.
     2.35964786]]",[[ 100.            2.35964786]],"[[ 100.          100.          100.          100.          100.
     2.30009493]]",2.3000949334739325,-6.616991831959451,[[ 100.            2.30009493]],45
15/11/2009 04:50,[ 1.57894737  0.        ],100.0,500,1.5789473684210549,0.01315789473684212,0.1184210526315792,2.4780689125931468,"[[ 100.          100.          100.          -50.          -50.
     2.47806891]]",[[ 100.            2.47806891]],"[[ 100.          100.          100.          100.          -50.
     2.35964786]]",2.3596478599615676,-13.157894736842124,[[ 100.            2.35964786]],46
15/11/2009 04:55,[ 0.97316892  1.93515609],100.0,500,-0.9619871769631096,0.0,-0.08016559808025914,2.3979033145128876,"[[ 100.          100.          -50.          -50.          -50.
     2.39790331]]",[[ 100.            2.39790331]],"[[ 100.          100.          100.          -50.          -50.
     2.47806891]]",2.4780689125931468,8.016559808025914,[[ 100.            2.47806891]],47
15/11/2009 05:00,[ 1.46654754  0.6108959 ],100.0,500,0.8556516407137469,0.007130430339281222,0.06417387305353106,2.4620771875664187,Terminal,Terminal,"[[ 100.          100.          -50.          -50.          -50.
     2.39790331]]",2.3979033145128876,-7.130430339281224,[[ 100.            2.39790331]],47
