index,Price [$/MWh]
9/02/17 2:30,115.42
9/02/17 2:35,115.42
9/02/17 2:40,115.42
9/02/17 2:45,115.42
9/02/17 2:50,115.42
9/02/17 2:55,115.42
9/02/17 3:00,132.72
9/02/17 3:05,132.72
9/02/17 3:10,132.72
9/02/17 3:15,132.72
9/02/17 3:20,132.72
9/02/17 3:25,132.72
9/02/17 3:30,132.3
9/02/17 3:35,132.3
9/02/17 3:40,132.3
9/02/17 3:45,132.3
9/02/17 3:50,132.3
9/02/17 3:55,132.3
9/02/17 4:00,121.46
9/02/17 4:05,121.46
9/02/17 4:10,121.46
9/02/17 4:15,121.46
9/02/17 4:20,121.46
9/02/17 4:25,121.46
9/02/17 4:30,128.4
9/02/17 4:35,128.4
9/02/17 4:40,128.4
9/02/17 4:45,128.4
9/02/17 4:50,128.4
9/02/17 4:55,128.4
9/02/17 5:00,139.6
9/02/17 5:05,139.6
9/02/17 5:10,139.6
9/02/17 5:15,139.6
9/02/17 5:20,139.6
9/02/17 5:25,139.6
9/02/17 5:30,152.1
9/02/17 5:35,152.1
9/02/17 5:40,152.1
9/02/17 5:45,152.1
9/02/17 5:50,152.1
9/02/17 5:55,152.1
9/02/17 6:00,162.28
9/02/17 6:05,162.28
9/02/17 6:10,162.28
9/02/17 6:15,162.28
9/02/17 6:20,162.28
9/02/17 6:25,162.28
9/02/17 6:30,350.1
9/02/17 6:35,350.1
9/02/17 6:40,350.1
9/02/17 6:45,350.1
9/02/17 6:50,350.1
9/02/17 6:55,350.1
9/02/17 7:00,215.76
9/02/17 7:05,215.76
9/02/17 7:10,215.76
9/02/17 7:15,215.76
9/02/17 7:20,215.76
9/02/17 7:25,215.76
9/02/17 7:30,160.16
9/02/17 7:35,160.16
9/02/17 7:40,160.16
9/02/17 7:45,160.16
9/02/17 7:50,160.16
9/02/17 7:55,160.16
9/02/17 8:00,256.37
9/02/17 8:05,256.37
9/02/17 8:10,256.37
9/02/17 8:15,256.37
9/02/17 8:20,256.37
9/02/17 8:25,256.37
9/02/17 8:30,317.15
9/02/17 8:35,317.15
9/02/17 8:40,317.15
9/02/17 8:45,317.15
9/02/17 8:50,317.15
9/02/17 8:55,317.15
9/02/17 9:00,336.05
9/02/17 9:05,336.05
9/02/17 9:10,336.05
9/02/17 9:15,336.05
9/02/17 9:20,336.05
9/02/17 9:25,336.05
9/02/17 9:30,165.34
9/02/17 9:35,165.34
9/02/17 9:40,165.34
9/02/17 9:45,165.34
9/02/17 9:50,165.34
9/02/17 9:55,165.34
9/02/17 10:00,320.72
9/02/17 10:05,320.72
9/02/17 10:10,320.72
9/02/17 10:15,320.72
9/02/17 10:20,320.72
9/02/17 10:25,320.72
9/02/17 10:30,427.02
9/02/17 10:35,427.02
9/02/17 10:40,427.02
9/02/17 10:45,427.02
9/02/17 10:50,427.02
9/02/17 10:55,427.02
9/02/17 11:00,423.25
9/02/17 11:05,423.25
9/02/17 11:10,423.25
9/02/17 11:15,423.25
9/02/17 11:20,423.25
9/02/17 11:25,423.25
9/02/17 11:30,362.87
9/02/17 11:35,362.87
9/02/17 11:40,362.87
9/02/17 11:45,362.87
9/02/17 11:50,362.87
9/02/17 11:55,362.87
9/02/17 12:00,337.7
9/02/17 12:05,337.7
9/02/17 12:10,337.7
9/02/17 12:15,337.7
9/02/17 12:20,337.7
9/02/17 12:25,337.7
9/02/17 12:30,338.8
9/02/17 12:35,338.8
9/02/17 12:40,338.8
9/02/17 12:45,338.8
9/02/17 12:50,338.8
9/02/17 12:55,338.8
9/02/17 13:00,349.83
9/02/17 13:05,349.83
9/02/17 13:10,349.83
9/02/17 13:15,349.83
9/02/17 13:20,349.83
9/02/17 13:25,349.83
9/02/17 13:30,350.74
9/02/17 13:35,350.74
9/02/17 13:40,350.74
9/02/17 13:45,350.74
9/02/17 13:50,350.74
9/02/17 13:55,350.74
9/02/17 14:00,267.81
9/02/17 14:05,267.81
9/02/17 14:10,267.81
9/02/17 14:15,267.81
9/02/17 14:20,267.81
9/02/17 14:25,267.81
9/02/17 14:30,266.7
9/02/17 14:35,266.7
9/02/17 14:40,266.7
9/02/17 14:45,266.7
9/02/17 14:50,266.7
9/02/17 14:55,266.7
9/02/17 15:00,299.8
9/02/17 15:05,299.8
9/02/17 15:10,299.8
9/02/17 15:15,299.8
9/02/17 15:20,299.8
9/02/17 15:25,299.8
9/02/17 15:30,285.32
9/02/17 15:35,285.32
9/02/17 15:40,285.32
9/02/17 15:45,285.32
9/02/17 15:50,285.32
9/02/17 15:55,285.32
9/02/17 16:00,2481.17
9/02/17 16:05,2481.17
9/02/17 16:10,2481.17
9/02/17 16:15,2481.17
9/02/17 16:20,2481.17
9/02/17 16:25,2481.17
9/02/17 16:30,6755
9/02/17 16:35,6755
9/02/17 16:40,6755
9/02/17 16:45,6755
9/02/17 16:50,6755
9/02/17 16:55,6755
9/02/17 17:00,8957.71
9/02/17 17:05,8957.71
9/02/17 17:10,8957.71
9/02/17 17:15,8957.71
9/02/17 17:20,8957.71
9/02/17 17:25,8957.71
9/02/17 17:30,132.72
9/02/17 17:35,132.72
9/02/17 17:40,132.72
9/02/17 17:45,132.72
9/02/17 17:50,132.72
9/02/17 17:55,132.72
9/02/17 18:00,9509.52
9/02/17 18:05,9509.52
9/02/17 18:10,9509.52
9/02/17 18:15,9509.52
9/02/17 18:20,9509.52
9/02/17 18:25,9509.52
9/02/17 18:30,412.69
9/02/17 18:35,412.69
9/02/17 18:40,412.69
9/02/17 18:45,412.69
9/02/17 18:50,412.69
9/02/17 18:55,412.69
9/02/17 19:00,579.7
9/02/17 19:05,579.7
9/02/17 19:10,579.7
9/02/17 19:15,579.7
9/02/17 19:20,579.7
9/02/17 19:25,579.7
9/02/17 19:30,232.69
9/02/17 19:35,232.69
9/02/17 19:40,232.69
9/02/17 19:45,232.69
9/02/17 19:50,232.69
9/02/17 19:55,232.69
9/02/17 20:00,187.65
9/02/17 20:05,187.65
9/02/17 20:10,187.65
9/02/17 20:15,187.65
9/02/17 20:20,187.65
9/02/17 20:25,187.65
9/02/17 20:30,190.21
9/02/17 20:35,190.21
9/02/17 20:40,190.21
9/02/17 20:45,190.21
9/02/17 20:50,190.21
9/02/17 20:55,190.21
9/02/17 21:00,254.4
9/02/17 21:05,254.4
9/02/17 21:10,254.4
9/02/17 21:15,254.4
9/02/17 21:20,254.4
9/02/17 21:25,254.4
9/02/17 21:30,124.99
9/02/17 21:35,124.99
