index,C_forecast_electricity_price_hh_0 [$/MWh],C_forecast_electricity_price_hh_1 [$/MWh],C_forecast_electricity_price_hh_2 [$/MWh],C_forecast_electricity_price_hh_3 [$/MWh],C_demand [MW]
2017-02-08 13:25:00,245.97,375.65,220.48,308.33,0.0
2017-02-08 13:30:00,375.65,220.48,308.33,2619.6,0.0
2017-02-08 13:35:00,375.65,220.48,308.33,2619.6,0.0
2017-02-08 13:40:00,375.65,220.48,308.33,2619.6,0.0
2017-02-08 13:45:00,375.65,220.48,308.33,2619.6,2652.209922124161
2017-02-08 13:50:00,375.65,220.48,308.33,2619.6,1062.9761635102873
2017-02-08 13:55:00,375.65,220.48,308.33,2619.6,916.9071967207452
2017-02-08 14:00:00,220.48,308.33,2619.6,437.64,414.86651685166834
2017-02-08 14:05:00,220.48,308.33,2619.6,437.64,0.0
2017-02-08 14:10:00,220.48,308.33,2619.6,437.64,0.0
2017-02-08 14:15:00,220.48,308.33,2619.6,437.64,1949.8571227165492
2017-02-08 14:20:00,220.48,308.33,2619.6,437.64,0.0
2017-02-08 14:25:00,220.48,308.33,2619.6,437.64,12.980768747103653
2017-02-08 14:30:00,308.33,2619.6,437.64,443.97,0.0
2017-02-08 14:35:00,308.33,2619.6,437.64,443.97,405.0344382128659
2017-02-08 14:40:00,308.33,2619.6,437.64,443.97,0.0
2017-02-08 14:45:00,308.33,2619.6,437.64,443.97,85.66888577759406
2017-02-08 14:50:00,308.33,2619.6,437.64,443.97,0.0
2017-02-08 14:55:00,308.33,2619.6,437.64,443.97,555.8510254261765
2017-02-08 15:00:00,2619.6,437.64,443.97,2481.99,0.0
2017-02-08 15:05:00,2619.6,437.64,443.97,2481.99,240.8245106955469
2017-02-08 15:10:00,2619.6,437.64,443.97,2481.99,0.0
2017-02-08 15:15:00,2619.6,437.64,443.97,2481.99,0.0
2017-02-08 15:20:00,2619.6,437.64,443.97,2481.99,728.7608003898438
2017-02-08 15:25:00,2619.6,437.64,443.97,2481.99,244.00222565338268
2017-02-08 15:30:00,437.64,443.97,2481.99,11141.35,2280.866964504875
2017-02-08 15:35:00,437.64,443.97,2481.99,11141.35,0.0
2017-02-08 15:40:00,437.64,443.97,2481.99,11141.35,662.2056157552248
2017-02-08 15:45:00,437.64,443.97,2481.99,11141.35,560.7037229230239
2017-02-08 15:50:00,437.64,443.97,2481.99,11141.35,0.0
2017-02-08 15:55:00,437.64,443.97,2481.99,11141.35,0.0
2017-02-08 16:00:00,443.97,2481.99,11141.35,13160.01,0.0
2017-02-08 16:05:00,443.97,2481.99,11141.35,13160.01,1207.5947926715155
2017-02-08 16:10:00,443.97,2481.99,11141.35,13160.01,0.0
2017-02-08 16:15:00,443.97,2481.99,11141.35,13160.01,0.0
2017-02-08 16:20:00,443.97,2481.99,11141.35,13160.01,0.0
2017-02-08 16:25:00,443.97,2481.99,11141.35,13160.01,0.0
2017-02-08 16:30:00,2481.99,11141.35,13160.01,13440.01,283.7899605512917
2017-02-08 16:35:00,2481.99,11141.35,13160.01,13440.01,0.0
2017-02-08 16:40:00,2481.99,11141.35,13160.01,13440.01,0.0
2017-02-08 16:45:00,2481.99,11141.35,13160.01,13440.01,1163.886092930092
2017-02-08 16:50:00,2481.99,11141.35,13160.01,13440.01,423.16229357654424
2017-02-08 16:55:00,2481.99,11141.35,13160.01,13440.01,261.9352460772329
2017-02-08 17:00:00,11141.35,13160.01,13440.01,9387.38,1223.8460974622017
2017-02-08 17:05:00,11141.35,13160.01,13440.01,9387.38,612.3477877402739
2017-02-08 17:10:00,11141.35,13160.01,13440.01,9387.38,846.0383111392888
2017-02-08 17:15:00,11141.35,13160.01,13440.01,9387.38,1299.3305923001435
2017-02-08 17:20:00,11141.35,13160.01,13440.01,9387.38,2780.0234537097913
2017-02-08 17:25:00,11141.35,13160.01,13440.01,9387.38,1832.3928352266767
2017-02-08 17:30:00,13160.01,13440.01,9387.38,13400.01,1236.3306167375997
2017-02-08 17:35:00,13160.01,13440.01,9387.38,13400.01,3046.7880086203636
2017-02-08 17:40:00,13160.01,13440.01,9387.38,13400.01,1158.5662293341259
2017-02-08 17:45:00,13160.01,13440.01,9387.38,13400.01,0.0
2017-02-08 17:50:00,13160.01,13440.01,9387.38,13400.01,872.0958568193355
2017-02-08 17:55:00,13160.01,13440.01,9387.38,13400.01,252.02314709899517
2017-02-08 18:00:00,13440.01,9387.38,13400.01,240.59,0.0
2017-02-08 18:05:00,13440.01,9387.38,13400.01,240.59,2966.990245286583
2017-02-08 18:10:00,13440.01,9387.38,13400.01,240.59,782.7067152699665
2017-02-08 18:15:00,13440.01,9387.38,13400.01,240.59,0.0
2017-02-08 18:20:00,13440.01,9387.38,13400.01,240.59,628.2035681366028
2017-02-08 18:25:00,13440.01,9387.38,13400.01,240.59,0.0
2017-02-08 18:30:00,9387.38,13400.01,240.59,230.12,0.0
2017-02-08 18:35:00,9387.38,13400.01,240.59,230.12,657.3126076786147
2017-02-08 18:40:00,9387.38,13400.01,240.59,230.12,0.0
2017-02-08 18:45:00,9387.38,13400.01,240.59,230.12,0.0
2017-02-08 18:50:00,9387.38,13400.01,240.59,230.12,1937.6400058054119
2017-02-08 18:55:00,9387.38,13400.01,240.59,230.12,0.0
2017-02-08 19:00:00,13400.01,240.59,230.12,231.88,1177.664659389388
2017-02-08 19:05:00,13400.01,240.59,230.12,231.88,1875.92699790762
2017-02-08 19:10:00,13400.01,240.59,230.12,231.88,0.0
2017-02-08 19:15:00,13400.01,240.59,230.12,231.88,1009.02567999328
2017-02-08 19:20:00,13400.01,240.59,230.12,231.88,1260.215606234618
2017-02-08 19:25:00,13400.01,240.59,230.12,231.88,0.0
2017-02-08 19:30:00,240.59,230.12,231.88,185.36,275.90692046711644
2017-02-08 19:35:00,240.59,230.12,231.88,185.36,200.10885493639188
2017-02-08 19:40:00,240.59,230.12,231.88,185.36,1475.0506376198211
2017-02-08 19:45:00,240.59,230.12,231.88,185.36,0.0
2017-02-08 19:50:00,240.59,230.12,231.88,185.36,0.0
2017-02-08 19:55:00,240.59,230.12,231.88,185.36,410.6821296241657
2017-02-08 20:00:00,230.12,231.88,185.36,237.71,0.0
2017-02-08 20:05:00,230.12,231.88,185.36,237.71,1436.3766618809589
2017-02-08 20:10:00,230.12,231.88,185.36,237.71,0.0
2017-02-08 20:15:00,230.12,231.88,185.36,237.71,557.1413316649554
2017-02-08 20:20:00,230.12,231.88,185.36,237.71,888.0995844027466
2017-02-08 20:25:00,230.12,231.88,185.36,237.71,555.3617859380442
2017-02-08 20:30:00,231.88,185.36,237.71,150.22,59.005239391732715
2017-02-08 20:35:00,231.88,185.36,237.71,150.22,43.58998648683723
2017-02-08 20:40:00,231.88,185.36,237.71,150.22,70.85202268177102
2017-02-08 20:45:00,231.88,185.36,237.71,150.22,0.0
2017-02-08 20:50:00,231.88,185.36,237.71,150.22,809.7059684994638
2017-02-08 20:55:00,231.88,185.36,237.71,150.22,676.2651756395285
2017-02-08 21:00:00,185.36,237.71,150.22,143.04,0.0
2017-02-08 21:05:00,185.36,237.71,150.22,143.04,531.8377281565433
2017-02-08 21:10:00,185.36,237.71,150.22,143.04,154.5878481355759
2017-02-08 21:15:00,185.36,237.71,150.22,143.04,0.0
