episode,action,next_observation,observation,reward,step
3,[[ 1.93762514  1.24218508]],[[ 50.           0.58395462]],[[-50.           0.53179661]],2.8976669471278917,39
3,[[ 0.85649407  1.69884165]],[[ 50.           0.51375899]],[[ 50.           0.58395462]],3.5097815943416433,40
3,[[ 0.18201649  1.84929245]],[[ 50.           0.37481932]],[[ 50.           0.51375899]],6.946983172062763,41
3,[[ 1.27521929  1.67092187]],[[ 50.           0.34184411]],[[ 50.           0.37481932]],1.6487607784877483,42
3,[[ 0.21409484  0.78055257]],[[ 100.           0.2946393]],[[ 50.           0.34184411]],2.3602405662372536,43
3,[[ 1.77239326  1.53352187]],[[ 100.            0.31255465]],[[ 100.           0.2946393]],-1.9905949270812906,44
3,[[ 0.57538669  0.45314961]],[[ 100.            0.32172243]],[[ 100.            0.31255465]],-1.0186423112656995,45
3,[[ 1.77180868  1.74149961]],[[ 100.            0.32399561]],[[ 100.            0.32172243]],-0.25257556945630366,46
3,[[ 0.23185855  1.22941267]],Terminal,[[ 100.            0.32399561]],8.312950948388186,47
4,[[ 1.42891852  0.87702536]],[[  5.00000000e+01   4.13919874e-02]],[[ 50.   0.]],-2.299554853968779,0
4,[[ 1.76608171  1.53505178]],[[ 50.           0.05871923]],[[  5.00000000e+01   4.13919874e-02]],-0.9626246747638855,1
4,[[ 0.96638243  0.25766964]],[[ 50.           0.11187269]],[[ 50.           0.05871923]],-2.9529699340587485,2
4,[[ 1.84842593  0.23021439]],[[ 50.           0.23323856]],[[ 50.           0.11187269]],-6.742548081254989,3
4,[[ 1.39253211  1.89837601]],[[ 100.           0.1910849]],[[ 50.           0.23323856]],2.1076829471478917,4
4,[[ 1.60337922  1.51665108]],[[ 100.            0.19758951]],[[ 100.           0.1910849]],-0.7227345065935226,5
4,[[ 1.60975006  1.87229875]],[[ 100.            0.17571045]],[[ 100.            0.19758951]],2.187905770157139,6
4,[[ 1.33938006  1.52632207]],[[ 100.            0.16013195]],[[ 100.            0.17571045]],1.557850094025262,7
4,[[ 0.75077354  0.49467608]],[[ 100.            0.17933926]],[[ 100.            0.16013195]],-2.1341454990500996,8
4,[[ 1.63497053  1.5977892 ]],[[-50.           0.18212786]],[[ 100.            0.17933926]],-0.3098444225566349,9
4,[[ 1.91684151  1.73445111]],[[-50.           0.19580714]],[[-50.           0.18212786]],0.7599600053205633,10
4,[[ 1.31590852  1.55053496]],[[-50.           0.17625494]],[[-50.           0.19580714]],-0.9776101523240364,11
4,[[ 1.39512023  1.92854302]],[[-50.           0.13180304]],[[-50.           0.17625494]],-2.2225949447120765,12
4,[[ 1.74778742  1.49853575]],[[ 50.           0.15049691]],[[-50.           0.13180304]],1.0385485949163913,13
4,[[ 0.93498156  1.18653739]],[[ 50.           0.12953392]],[[ 50.           0.15049691]],1.0481493099882069,14
4,[[ 1.58528783  1.36409702]],[[ 50.           0.14612324]],[[ 50.           0.12953392]],-0.9216283780850141,15
4,[[ 1.05558366  1.41606934]],[[ 50.           0.11608276]],[[ 50.           0.14612324]],1.5020237014233169,16
4,[[ 0.11682513  1.1380626 ]],[[  1.00000000e+02   3.09796389e-02]],[[ 50.           0.11608276]],4.255156129606762,17
4,[[ 0.38980371  1.11179985]],[[ 100.    0.]],[[  1.00000000e+02   3.09796389e-02]],3.0979638910563128,18
4,[[ 1.14384671  1.49038559]],[[ 100.    0.]],[[ 100.    0.]],-0.0,19
4,[[ 0.53083423  0.82583868]],[[ 100.    0.]],[[ 100.    0.]],-0.0,20
4,[[ 1.97248452  1.78311719]],[[  1.00000000e+02   1.42025497e-02]],[[ 100.    0.]],-1.5780610803151573,21
4,[[ 0.35311865  1.5076014 ]],[[-50.   0.]],[[  1.00000000e+02   1.42025497e-02]],1.4202549722836415,22
4,[[ 0.90306066  0.324443  ]],[[ -5.00000000e+01   4.33963244e-02]],[[-50.   0.]],2.410906909557922,23
4,[[ 0.09295891  0.3821088 ]],[[ -5.00000000e+01   1.93005009e-02]],[[ -5.00000000e+01   4.33963244e-02]],-1.2047911741132733,24
4,[[ 1.06551244  1.20229036]],[[ -5.00000000e+01   7.90234110e-03]],[[ -5.00000000e+01   1.93005009e-02]],-0.5699079894281738,25
4,[[ 0.00596582  1.0796435 ]],[[ 50.   0.]],[[ -5.00000000e+01   7.90234110e-03]],-0.3951170550606829,26
4,[[ 0.62070858  1.09616032]],[[ 50.   0.]],[[ 50.   0.]],-0.0,27
4,[[ 1.43923696  0.40878569]],[[ 50.           0.07728384]],[[ 50.   0.]],-4.293546936729428,28
4,[[ 0.71973015  1.76903809]],[[ 50.   0.]],[[ 50.           0.07728384]],3.8641922430564857,29
4,[[ 0.18782716  1.99444257]],[[ 100.    0.]],[[ 50.   0.]],-0.0,30
4,[[ 0.67309219  0.7597789 ]],[[ 100.    0.]],[[ 100.    0.]],-0.0,31
4,[[ 0.53353509  1.1973903 ]],[[ 100.    0.]],[[ 100.    0.]],-0.0,32
4,[[ 1.67473458  1.07996858]],[[  1.00000000e+02   4.46074504e-02]],[[ 100.    0.]],-4.956383375867049,33
4,[[ 0.56764894  1.33308621]],[[ 100.    0.]],[[  1.00000000e+02   4.46074504e-02]],4.460745038280345,34
4,[[ 1.57849007  0.29141051]],[[-50.           0.09653097]],[[ 100.    0.]],-10.725663007191592,35
4,[[ 0.7633356   1.22428976]],[[-50.           0.05811812]],[[-50.           0.09653097]],-1.9206423091427682,36
4,[[ 0.20889349  0.55714529]],[[ -5.00000000e+01   2.90971376e-02]],[[-50.           0.05811812]],-1.4510491664553427,37
4,[[ 0.47829464  0.57379621]],[[ -5.00000000e+01   2.11386729e-02]],[[ -5.00000000e+01   2.90971376e-02]],-0.39792323486199654,38
4,[[ 0.62785807  1.07369007]],[[  5.00000000e+01  -3.46944695e-18]],[[ -5.00000000e+01   2.11386729e-02]],-1.0569336427761093,39
4,[[ 1.19108107  0.65836826]],[[  5.00000000e+01   3.99534607e-02]],[[  5.00000000e+01  -3.46944695e-18]],-2.219636707717876,40
4,[[ 0.37170763  1.93879292]],[[ 50.   0.]],[[  5.00000000e+01   3.99534607e-02]],1.9976730369460884,41
4,[[ 1.51995377  1.21213178]],[[  5.00000000e+01   2.30866499e-02]],[[ 50.   0.]],-1.2825916631893501,42
4,[[ 1.91964431  0.91590644]],[[  1.00000000e+02   9.83669896e-02]],[[  5.00000000e+01   2.30866499e-02]],-4.182241095118376,43
4,[[ 1.39648722  0.2895256 ]],[[ 100.            0.18138911]],[[  1.00000000e+02   9.83669896e-02]],-9.224680148849233,44
4,[[ 0.66798713  0.15585239]],[[ 100.            0.21979922]],[[ 100.            0.18138911]],-4.2677894769229425,45
4,[[ 0.7429805   1.69226159]],[[ 100.            0.14069246]],[[ 100.            0.21979922]],7.910675727484351,46
4,[[ 0.06988949  0.47414467]],Terminal,[[ 100.            0.14069246]],3.3687932140388623,47
5,[[ 1.83996317  1.62780209]],[[  5.00000000e+01   1.59120807e-02]],[[ 50.   0.]],-0.8840044855880099,0
5,[[ 0.66080955  1.70976769]],[[ 50.   0.]],[[  5.00000000e+01   1.59120807e-02]],0.795604037029209,1
5,[[ 1.24243836  0.7000747 ]],[[  5.00000000e+01   4.06772746e-02]],[[ 50.   0.]],-2.25984858793364,2
5,[[ 0.99167733  0.12954172]],[[ 50.           0.10533745]],[[  5.00000000e+01   4.06772746e-02]],-3.592231698633434,3
5,[[ 1.90013588  0.60209559]],[[ 100.            0.20269047]],[[ 50.           0.10533745]],-5.40850118580742,4
5,[[ 1.58087276  0.15851609]],[[ 100.            0.30936722]],[[ 100.            0.20269047]],-11.852972229822615,5
5,[[ 0.55955726  1.24710521]],[[ 100.            0.25207155]],[[ 100.            0.30936722]],5.729566188126622,6
5,[[ 0.67568737  1.58466003]],[[ 100.            0.17632383]],[[ 100.            0.25207155]],7.574772153819115,7
5,[[ 1.78586115  0.3712101 ]],[[ 100.            0.28242266]],[[ 100.            0.17632383]],-11.788758794992537,8
5,[[ 1.58524188  1.60412616]],[[-50.           0.28084897]],[[ 100.            0.28242266]],0.15736903081093323,9
5,[[ 1.33559951  1.43355865]],[[-50.           0.27268571]],[[-50.           0.28084897]],-0.4081631194170321,10
5,[[ 0.98534086  1.4694892 ]],[[-50.           0.23234001]],[[-50.           0.27268571]],-2.017284772168532,11
5,[[ 1.32886197  1.50483797]],[[-50.           0.21767535]],[[-50.           0.23234001]],-0.7332333478415345,12
5,[[ 1.57376248  0.17585648]],[[ 50.          0.3225183]],[[-50.           0.21767535]],5.824608305015025,13
5,[[ 0.24325316  0.50746668]],[[ 50.          0.3005005]],[[ 50.          0.3225183]],1.1008896508654165,14
5,[[ 0.64477346  1.40730725]],[[ 50.           0.23695602]],[[ 50.          0.3005005]],3.1772241350551456,15
5,[[ 1.10587083  0.48897328]],[[ 50.           0.28322334]],[[ 50.           0.23695602]],-2.570406482575771,16
5,[[ 0.73674249  1.62551613]],[[ 100.            0.20915887]],[[ 50.           0.28322334]],3.7032235302739607,17
5,[[ 1.81090685  1.7193472 ]],[[ 100.            0.21602584]],[[ 100.            0.20915887]],-0.7629971022836773,18
5,[[ 1.8062982   1.47181324]],[[ 100.            0.24111221]],[[ 100.            0.21602584]],-2.787374681006463,19
5,[[ 0.93289112  1.33012515]],[[ 100.            0.20800938]],[[ 100.            0.24111221]],3.3102835799652146,20
5,[[ 1.16803876  1.69600741]],[[ 100.            0.16401199]],[[ 100.            0.20800938]],4.399738723631066,21
5,[[ 0.44388088  1.46684697]],[[-50.           0.07876482]],[[ 100.            0.16401199]],8.52471742420054,22
5,[[ 0.00259172  1.6499246 ]],[[-50.   0.]],[[-50.           0.07876482]],-3.9382407917177766,23
