episode,reward,step,cum max reward,rolling mean,rolling std
72,-27.62221299499286,1128,32.03935456693843,-22.28163463552012,27.23707514273803
73,-70.49572573441793,1128,32.03935456693843,-23.018153946166592,28.088668342241096
74,-79.67369696450743,1128,32.03935456693843,-24.312013777546802,29.328423574438368
75,-52.80515616430167,1128,32.03935456693843,-26.14725148302902,28.437001037859915
76,-45.80763299184526,1128,32.03935456693843,-27.701377418727766,27.52330031836972
77,-30.21684269571925,1128,32.03935456693843,-28.149169706518123,27.39347760481409
78,6.047991983379923,1128,32.03935456693843,-26.828797997918713,27.581565939737644
79,-10.913554582489454,1128,32.03935456693843,-26.23389796754036,27.630769608098632
80,-54.80018689692509,1128,32.03935456693843,-27.063248172725896,27.920607824012937
81,2.551148925342403,1128,32.03935456693843,-26.979893890648043,28.005046866653565
82,-24.98255706287579,1128,32.03935456693843,-26.94766628620729,28.00652517482312
