,electricity_price_[$/MWh],electricity_demand_[MW],month,day,hour,minute,weekday
15/11/2009 18:05,91.77,10,11,15,18,5,6
15/11/2009 18:10,91.77,10,11,15,18,10,6
15/11/2009 18:15,91.77,10,11,15,18,15,6
15/11/2009 18:20,91.77,10,11,15,18,20,6
15/11/2009 18:25,91.77,10,11,15,18,25,6
15/11/2009 18:30,172.91,10,11,15,18,30,6
15/11/2009 18:35,172.91,10,11,15,18,35,6
15/11/2009 18:40,172.91,10,11,15,18,40,6
15/11/2009 18:45,172.91,10,11,15,18,45,6
15/11/2009 18:50,172.91,10,11,15,18,50,6
15/11/2009 18:55,172.91,10,11,15,18,55,6
15/11/2009 19:00,42.1,10,11,15,19,0,6
15/11/2009 19:05,42.1,10,11,15,19,5,6
15/11/2009 19:10,42.1,10,11,15,19,10,6
15/11/2009 19:15,42.1,10,11,15,19,15,6
15/11/2009 19:20,42.1,10,11,15,19,20,6
15/11/2009 19:25,42.1,10,11,15,19,25,6
15/11/2009 19:30,39.49,10,11,15,19,30,6
15/11/2009 19:35,39.49,10,11,15,19,35,6
15/11/2009 19:40,39.49,10,11,15,19,40,6
15/11/2009 19:45,39.49,10,11,15,19,45,6
15/11/2009 19:50,39.49,10,11,15,19,50,6
15/11/2009 19:55,39.49,10,11,15,19,55,6
15/11/2009 20:00,48.6,10,11,15,20,0,6
15/11/2009 20:05,48.6,10,11,15,20,5,6
15/11/2009 20:10,48.6,10,11,15,20,10,6
15/11/2009 20:15,48.6,10,11,15,20,15,6
15/11/2009 20:20,48.6,10,11,15,20,20,6
15/11/2009 20:25,48.6,10,11,15,20,25,6
15/11/2009 20:30,46.1,10,11,15,20,30,6
15/11/2009 20:35,46.1,10,11,15,20,35,6
15/11/2009 20:40,46.1,10,11,15,20,40,6
15/11/2009 20:45,46.1,10,11,15,20,45,6
15/11/2009 20:50,46.1,10,11,15,20,50,6
15/11/2009 20:55,46.1,10,11,15,20,55,6
15/11/2009 21:00,38.72,10,11,15,21,0,6
15/11/2009 21:05,38.72,10,11,15,21,5,6
15/11/2009 21:10,38.72,10,11,15,21,10,6
15/11/2009 21:15,38.72,10,11,15,21,15,6
15/11/2009 21:20,38.72,10,11,15,21,20,6
15/11/2009 21:25,38.72,10,11,15,21,25,6
15/11/2009 21:30,35.77,10,11,15,21,30,6
15/11/2009 21:35,35.77,10,11,15,21,35,6
15/11/2009 21:40,35.77,10,11,15,21,40,6
15/11/2009 21:45,35.77,10,11,15,21,45,6
15/11/2009 21:50,35.77,10,11,15,21,50,6
15/11/2009 21:55,35.77,10,11,15,21,55,6
15/11/2009 22:00,29.1,10,11,15,22,0,6
15/11/2009 22:05,29.1,10,11,15,22,5,6
15/11/2009 22:10,29.1,10,11,15,22,10,6
15/11/2009 22:15,29.1,10,11,15,22,15,6
15/11/2009 22:20,29.1,10,11,15,22,20,6
15/11/2009 22:25,29.1,10,11,15,22,25,6
15/11/2009 22:30,26.79,10,11,15,22,30,6
15/11/2009 22:35,26.79,10,11,15,22,35,6
15/11/2009 22:40,26.79,10,11,15,22,40,6
15/11/2009 22:45,26.79,10,11,15,22,45,6
15/11/2009 22:50,26.79,10,11,15,22,50,6
15/11/2009 22:55,26.79,10,11,15,22,55,6
